Shareholder - Name	Issuer - Name	Security - Report Date	Security - Type	Data Source URL
AMF Pension	Bristol-Myers Squibb	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Broadcom	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bunge	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Burlington Stores	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CarMax	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Carrier Global	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Caterpillar	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CBRE Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Cencora	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Cheniere Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Chord Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Cigna Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Citigroup	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CMS Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Coinbase Global	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Colgate-Palmolive	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Comcast	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Conagra Foods	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	ConocoPhillips	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Consolidated Edison	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Costco Wholesale	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Coterra Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Crown Castle	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CSX	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Cummins	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Datadog	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Deckers Outdoor	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Deere	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Delta Air Lines	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Devon Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	DexCom	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Diamondback Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Digital Realty Trust	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Discover Financial Services	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Eaton	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ebay	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ecolab	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Edison International	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Edwards Lifesciences	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Elevance Health	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Eli Lilly & Company	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Emerson Electric	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	EQT	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Essential Utilities	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Eversource Energy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Exact Sciences	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
