Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
ap2	SWECO B	SE	SE0014960373	2025-12-31	286 537	1 898 854	x1_000	0,52%	0,30%	https://ap2.se/en/asset-management/holdings/
ap2	SWEDBANK AB A	SE	SE0000242455	2025-12-31	2 116 634	6 591 821	x1_000	0,58%	0,58%	https://ap2.se/en/asset-management/holdings/
ap2	SWEDISH LOGISTIC PROPERTY AB	SE	SE0017565476	2025-12-31	152 944	3 689 840	x1_000	1,32%	0,59%	https://ap2.se/en/asset-management/holdings/
ap2	SWEDISH ORPHAN BIOVITRUM AB	SE	SE0000872095	2025-12-31	179 558	539 537	x1_000	0,15%	0,15%	https://ap2.se/en/asset-management/holdings/
ap2	TELE2 B	SE	SE0005190238	2025-12-31	259 349	1 678 089	x1_000	0,24%	0,18%	https://ap2.se/en/asset-management/holdings/
ap2	TELIA CO AB	SE	SE0000667925	2025-12-31	71 483	1 815 219	x1_000	0,05%	0,05%	https://ap2.se/en/asset-management/holdings/
ap2	THULE GROUP AB/THE	SE	SE0006422390	2025-12-31	220 795	920 748	x1_000	0,85%	0,85%	https://ap2.se/en/asset-management/holdings/
ap2	TRELLEBORG B	SE	SE0000114837	2025-12-31	953 754	2 428 709	x1_000	1,05%	0,50%	https://ap2.se/en/asset-management/holdings/
ap2	TROAX GROUP AB-WI	SE	SE0012729366	2025-12-31	206 994	1 389 223	x1_000	2,32%	2,32%	https://ap2.se/en/asset-management/holdings/
ap2	TRUECALLER AB	SE	SE0016787071	2025-12-31	81 341	4 214 574	x1_000	1,21%	0,55%	https://ap2.se/en/asset-management/holdings/
ap2	VERTISEIT AB	SE	SE0012481133	2025-12-31	79 532	1 180 000	x1_000	3,89%	2,26%	https://ap2.se/en/asset-management/holdings/
ap2	VITEC SOFTWARE GROUP AB-B SH	SE	SE0007871363	2025-12-31	175 721	567 573	x1_000	1,42%	0,91%	https://ap2.se/en/asset-management/holdings/
ap2	VITROLIFE AB	SE	SE0011205202	2025-12-31	287 683	2 099 876	x1_000	1,55%	1,55%	https://ap2.se/en/asset-management/holdings/
ap2	VOLATI AB	SE	SE0009143662	2025-12-31	517 118	4 832 881	x1_000	5,97%	6,07%	https://ap2.se/en/asset-management/holdings/
ap2	VOLVO B	SE	SE0000115446	2025-12-31	1 731 647	5 852 136	x1_000	0,29%	0,10%	https://ap2.se/en/asset-management/holdings/
ap2	WIHLBORGS FASTIGHETER	SE	SE0018012635	2025-12-31	122 173	1 338 885	x1_000	0,44%	0,44%	https://ap2.se/en/asset-management/holdings/
ap2	XSPRAY PHARMA AB	SE	SE0009973563	2025-12-31	39 470	1 255 012	x1_000	3,01%	3,01%	https://ap2.se/en/asset-management/holdings/
ap2	XVIVO PERFUSION AB	SE	SE0004840718	2025-12-31	145 371	779 054	x1_000	2,47%	2,47%	https://ap2.se/en/asset-management/holdings/
ap2	YUBICO AB	SE	SE0015657788	2025-12-31	64 895	849 189	x1_000	0,98%	0,98%	https://ap2.se/en/asset-management/holdings/
