Shareholder - Name	Issuer - Name	Issuer - Country Name	Security - ISIN	Security - Report Date	Security - Market Value	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP4	HANSA BIOPHARMA AB	SE	SE0015961909	2026-02-18	587 	2 569 000	0,10	0,07	https://www.ap4.se/en/reports/holdings/
AP4	HENNES & MAURITZ AB-B SHS	SE	SE0011090018	2026-02-18	89 	19 259 489	0,05	0,04	https://www.ap4.se/en/reports/holdings/
AP4	HEXAGON AB-B SHS	SE	SE0001662230	2026-02-18	656 	5 363 946	1,22	0,46	https://www.ap4.se/en/reports/holdings/
AP4	INFANT BACTERIAL THERAPEUTIC	SE	SE0008015259	2026-02-18	68 	1 344 000	9,98	7,66	https://www.ap4.se/en/reports/holdings/
AP4	INTEA FASTIGHETER AB	SE	SE0017072259	2026-02-18	239 	3 611 948	9,33	9,33	https://www.ap4.se/en/reports/holdings/
AP4	INTEA FASTIGHETER AB-D	SE	SE0017072267	2026-02-18	37 	1 175 000	1,25	1,04	https://www.ap4.se/en/reports/holdings/
AP4	INTERVACC AB	SE	SE0009607252	2026-02-18	7 	8 074 000	2,37	2,37	https://www.ap4.se/en/reports/holdings/
AP4	INVESTOR AB-B SHS	SE	SE0015811963	2026-02-18	396 	1 200 000	0,04	0,01	https://www.ap4.se/en/reports/holdings/
AP4	INWIDO AB	SE	SE0006220018	2026-02-18	521 	3 174 745	5,48	5,48	https://www.ap4.se/en/reports/holdings/
AP4	IRLAB THERAPEUTICS AB	SE	SE0012675361	2026-02-18	12 	6 116 985	7,20	7,20	https://www.ap4.se/en/reports/holdings/
AP4	ITAB SHOP CONCEPT AB	SE	SE0015962097	2026-02-18	64 	3 647 000	1,41	1,43	https://www.ap4.se/en/reports/holdings/
AP4	KARNOV GROUP AB	SE	SE0012323715	2026-02-18	287 	2 857 435	2,64	2,65	https://www.ap4.se/en/reports/holdings/
AP4	K-FAST HOLDING AB	SE	SE0016101679	2026-02-18	127 	9 839 409	4,00	2,93	https://www.ap4.se/en/reports/holdings/
AP4	KINNEVIK AB - B	SE	SE0022060521	2026-02-18	17 	200 000	0,07	0,03	https://www.ap4.se/en/reports/holdings/
AP4	LIFCO AB-B SHS	SE	SE0015949201	2026-02-18	8 180 	23 240 000	5,12	3,19	https://www.ap4.se/en/reports/holdings/
AP4	LINDAB INTERNATIONAL AB	SE	SE0001852419	2026-02-18	1 209 	5 800 000	7,36	7,36	https://www.ap4.se/en/reports/holdings/
AP4	LOGISTEA AB-B	SE	SE0017131337	2026-02-18	598 	41 736 008	8,17	5,60	https://www.ap4.se/en/reports/holdings/
AP4	LUMENRADIO AB	SE	SE0019072158	2026-02-18	50 	871 266	6,93	6,93	https://www.ap4.se/en/reports/holdings/
AP4	MEDICOVER AB - B SHARE	SE	SE0009778848	2026-02-18	2 942 	13 341 496	8,69	1,58	https://www.ap4.se/en/reports/holdings/
AP4	MEKO AB	SE	SE0002110064	2026-02-18	355 	4 872 960	8,64	8,64	https://www.ap4.se/en/reports/holdings/
AP4	MENDUS AB	SE	SE0022239950	2026-02-18	33 	5 841 000	9,33	9,33	https://www.ap4.se/en/reports/holdings/
AP4	MENTICE AB	SE	SE0012673291	2026-02-18	29 	2 168 100	7,07	7,71	https://www.ap4.se/en/reports/holdings/
AP4	MILDEF GROUP AB	SE	SE0016074249	2026-02-18	55 	462 000	0,98	0,98	https://www.ap4.se/en/reports/holdings/
AP4	MIPS AB	SE	SE0009216278	2026-02-18	16 	45 740	0,17	0,17	https://www.ap4.se/en/reports/holdings/
AP4	MOMENTUM GROUP KOMPONENTER &	SE	SE0017562523	2026-02-18	122 	795 022	1,57	1,43	https://www.ap4.se/en/reports/holdings/
AP4	MUNTERS GROUP AB	SE	SE0009806607	2026-02-18	1 283 	7 460 837	4,04	4,04	https://www.ap4.se/en/reports/holdings/
AP4	MYCRONIC AB	SE	SE0025158629	2026-02-18	3 165 	14 178 384	7,24	7,24	https://www.ap4.se/en/reports/holdings/
AP4	NCAB GROUP AB	SE	SE0017160773	2026-02-18	506 	10 592 331	5,67	5,67	https://www.ap4.se/en/reports/holdings/
AP4	NEDERMAN HOLDING AB	SE	SE0011204510	2026-02-18	347 	2 046 874	5,82	5,82	https://www.ap4.se/en/reports/holdings/
AP4	NIBE INDUSTRIER AB-B SHS	SE	SE0015988019	2026-02-18	36 	1 000 000	0,05	0,02	https://www.ap4.se/en/reports/holdings/
AP4	NOBIA AB	SE	SE0000949331	2026-02-18	273 	63 452 284	9,40	9,40	https://www.ap4.se/en/reports/holdings/
AP4	NOLATO AB-B SHS	SE	SE0015962477	2026-02-18	64 	1 033 000	0,38	0,20	https://www.ap4.se/en/reports/holdings/
AP4	NP3 FASTIGHETER AB	SE	SE0006342333	2026-02-18	438 	1 689 599	1,44	2,52	https://www.ap4.se/en/reports/holdings/
AP4	OVZON AB	SE	SE0010948711	2026-02-18	429 	10 050 000	9,01	9,01	https://www.ap4.se/en/reports/holdings/
AP4	PANDOX AB	SE	SE0007100359	2026-02-18	775 	3 817 781	1,96	1,11	https://www.ap4.se/en/reports/holdings/
AP4	PIERCE GROUP AB	SE	SE0015658364	2026-02-18	54 	3 750 000	4,61	4,71	https://www.ap4.se/en/reports/holdings/
AP4	POLESTAR AUTOMOTIVE-CL A ADS	SE	US7311054099	2026-02-18	29 	145 586	0,20	0,20	https://www.ap4.se/en/reports/holdings/
AP4	Q-LINEA AB	SE	SE0025420714	2026-02-18	21 	850 000	4,49	4,49	https://www.ap4.se/en/reports/holdings/
AP4	SAAB AB-B	SE	SE0021921269	2026-02-18	134 	250 000	0,05	0,04	https://www.ap4.se/en/reports/holdings/
AP4	SAGAX AB-A	SE	SE0004635878	2026-02-18	161 	821 630	0,11	0,60	https://www.ap4.se/en/reports/holdings/
AP4	SAGAX AB-B	SE	SE0005127818	2026-02-18	1 539 	7 787 263	0,83	0,55	https://www.ap4.se/en/reports/holdings/
AP4	SAGAX AB-D	SE	SE0009161052	2026-02-18	54 	1 604 295	0,34	0,23	https://www.ap4.se/en/reports/holdings/
AP4	SANDVIK AB	SE	SE0000667891	2026-02-18	3 461 	11 513 518	0,46	0,46	https://www.ap4.se/en/reports/holdings/
AP4	SECTRA AB-B SHS	SE	SE0022419784	2026-02-18	2 186 	8 711 000	4,46	2,78	https://www.ap4.se/en/reports/holdings/
AP4	SECURITAS AB-B SHS	SE	SE0000163594	2026-02-18	37 	250 000	0,04	0,03	https://www.ap4.se/en/reports/holdings/
AP4	SENZIME AB	SE	SE0002478776	2026-02-18	44 	8 187 000	5,21	5,21	https://www.ap4.se/en/reports/holdings/
AP4	SINCH AB	SE	SE0016101844	2026-02-18	2 137 	67 900 000	8,03	8,03	https://www.ap4.se/en/reports/holdings/
AP4	SIVERS SEMICONDUCTORS AB	SE	SE0003917798	2026-02-18	16 	3 888 000	1,25	1,30	https://www.ap4.se/en/reports/holdings/
AP4	SKANDINAVISKA ENSKILDA BAN-A	SE	SE0000148884	2026-02-18	3 785 	19 400 000	0,47	0,48	https://www.ap4.se/en/reports/holdings/
AP4	SKANSKA AB-B SHS	SE	SE0000113250	2026-02-18	473 	1 876 712	0,22	0,16	https://www.ap4.se/en/reports/holdings/
AP4	SKF AB-B SHARES	SE	SE0000108227	2026-02-18	49 	200 000	0,04	0,03	https://www.ap4.se/en/reports/holdings/
AP4	SKISTAR AB	SE	SE0012141687	2026-02-18	57 	341 662	0,44	0,31	https://www.ap4.se/en/reports/holdings/
AP4	SSAB AB - B SHARES	SE	SE0000120669	2026-02-18	137 	1 960 000	0,10	0,03	https://www.ap4.se/en/reports/holdings/
AP4	STENDORREN FASTIGHETER AB	SE	SE0006543344	2026-02-18	460 	2 279 056	6,98	4,13	https://www.ap4.se/en/reports/holdings/
AP4	SURGICAL SCIENCE SWEDEN AB	SE	SE0014428512	2026-02-18	85 	2 600 000	5,10	5,10	https://www.ap4.se/en/reports/holdings/
AP4	SVENSKA CELLULOSA AB SCA-B	SE	SE0000112724	2026-02-18	31 	255 108	0,02	0,01	https://www.ap4.se/en/reports/holdings/
AP4	SVENSKA HANDELSBANKEN-A SHS	SE	SE0007100599	2026-02-18	134 	1 000 000	0,05	0,05	https://www.ap4.se/en/reports/holdings/
AP4	SWEDBANK AB - A SHARES	SE	SE0000242455	2026-02-18	161 	500 000	0,04	0,04	https://www.ap4.se/en/reports/holdings/
AP4	SWEDISH LOGISTIC PROPERTY-B	SE	SE0017565476	2026-02-18	1 046 	25 231 270	4,85	3,04	https://www.ap4.se/en/reports/holdings/
AP4	SWEDISH ORPHAN BIOVITRUM AB	SE	SE0000872095	2026-02-18	6 768 	20 335 402	2,84	2,84	https://www.ap4.se/en/reports/holdings/
AP4	SYNSAM GROUP AB	SE	SE0016829709	2026-02-18	509 	7 541 873	5,10	5,10	https://www.ap4.se/en/reports/holdings/
AP4	TELE2 AB-B SHS	SE	SE0005190238	2026-02-18	39 	250 000	0,04	0,03	https://www.ap4.se/en/reports/holdings/
AP4	TELIA CO AB	SE	SE0000667925	2026-02-18	39 	1 000 000	0,03	0,03	https://www.ap4.se/en/reports/holdings/
AP4	THULE GROUP AB/THE	SE	SE0006422390	2026-02-18	58 	242 492	0,22	0,22	https://www.ap4.se/en/reports/holdings/
AP4	TITANIA HOLDING AB	SE	SE0017132129	2026-02-18	36 	4 341 963	5,24	2,22	https://www.ap4.se/en/reports/holdings/
AP4	TRELLEBORG AB-B SHS	SE	SE0000114837	2026-02-18	110 	279 876	0,06	0,03	https://www.ap4.se/en/reports/holdings/
AP4	TROAX GROUP AB	SE	SE0012729366	2026-02-18	45 	300 000	0,50	0,50	https://www.ap4.se/en/reports/holdings/
AP4	TRUECALLER AB-B	SE	SE0016787071	2026-02-18	125 	6 500 000	1,84	0,84	https://www.ap4.se/en/reports/holdings/
AP4	VBG GROUP AB-B SHS	SE	SE0000115107	2026-02-18	304 	764 613	2,92	1,59	https://www.ap4.se/en/reports/holdings/
AP4	VICORE PHARMA HOLDING AB	SE	SE0007577895	2026-02-18	269 	23 830 466	8,46	8,46	https://www.ap4.se/en/reports/holdings/
AP4	VIMIAN GROUP AB	SE	SE0015961982	2026-02-18	175 	5 753 608	1,09	1,09	https://www.ap4.se/en/reports/holdings/
AP4	VITEC SOFTWARE GROUP AB-B SH	SE	SE0007871363	2026-02-18	42 	135 000	0,34	0,22	https://www.ap4.se/en/reports/holdings/
AP4	VITROLIFE AB	SE	SE0011205202	2026-02-18	765 	5 583 530	4,12	4,12	https://www.ap4.se/en/reports/holdings/
AP4	VOLATI AB	SE	SE0009143662	2026-02-18	683 	6 382 431	7,88	8,02	https://www.ap4.se/en/reports/holdings/
AP4	VOLVO AB-A SHS	SE	SE0000115420	2026-02-18	2 787 	9 403 762	0,46	1,56	https://www.ap4.se/en/reports/holdings/
AP4	VOLVO AB-B SHS	SE	SE0000115446	2026-02-18	357 	1 206 526	0,03	0,01	https://www.ap4.se/en/reports/holdings/
AP4	VOLVO CAR AB-B	SE	SE0021628898	2026-02-18	611 	19 909 339	0,33	0,33	https://www.ap4.se/en/reports/holdings/
AP4	WIHLBORGS FASTIGHETER AB	SE	SE0018012635	2026-02-18	548 	6 010 049	1,96	1,96	https://www.ap4.se/en/reports/holdings/
AP4	XSPRAY PHARMA AB	SE	SE0009973563	2026-02-18	128 	4 060 000	9,73	9,73	https://www.ap4.se/en/reports/holdings/
AP4	XVIVO PERFUSION AB	SE	SE0004840718	2026-02-18	532 	2 850 000	9,05	9,05	https://www.ap4.se/en/reports/holdings/
AP4	YUBICO AB	SE	SE0015657788	2026-02-18	371 	4 850 000	5,56	5,61	https://www.ap4.se/en/reports/holdings/
AP4	Athanase Industrial Partners Fund ll	SE		2026-02-18	507	321 699			https://www.ap4.se/en/reports/holdings/
