Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	L E Lundbergforetagen AB	Bond	2026-02-23	64,452	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Landshypotek ek for	Bond	2026-02-23	327,982	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Landwirtschaftliche Rentenbank	Bond	2026-02-23	813,045	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Lansforsakringar AB	Bond	2026-02-23	132,304	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Lansforsakringar Hypotek AB	Bond	2026-02-23	518,759	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Legal & General Group PLC	Bond	2026-02-23	193,610	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	London Stock Exchange Group PLC	Bond	2026-02-23	44,996	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Medtronic PLC	Bond	2026-02-23	216,172	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Mercedes-Benz Group AG	Bond	2026-02-23	782,717	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nederlandse Waterschapsbank NV	Bond	2026-02-23	129,187	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NextEra Energy Inc	Bond	2026-02-23	390,260	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nordea Bank Abp	Bond	2026-02-23	2,891,095	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Nordic Investment Bank	Bond	2026-02-23	1,015,525	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Oracle Corp	Bond	2026-02-23	385,055	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Philip Morris International Inc	Bond	2026-02-23	522,502	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Prudential Financial Inc	Bond	2026-02-23	290,023	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Region Skane	Bond	2026-02-23	249,189	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Rikshem Intressenter AB	Bond	2026-02-23	469,184	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Saab AB	Bond	2026-02-23	204,646	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Sampo Oyj	Bond	2026-02-23	515,317	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SES SA	Bond	2026-02-23	268,528	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Skandinaviska Enskilda Banken AB	Bond	2026-02-23	523,719	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Stryker Corp	Bond	2026-02-23	218,816	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Svenska Handelsbanken AB	Bond	2026-02-23	5,514,353	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Swedbank AB	Bond	2026-02-23	558,286	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Telefonica SA	Bond	2026-02-23	454,246	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Tesco PLC	Bond	2026-02-23	601,074	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Trenum AB	Bond	2026-02-23	298,953	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Unilever PLC	Bond	2026-02-23	55,618	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	United States of America	Bond	2026-02-23	40,414,852	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Vasakronan Holding AB	Bond	2026-02-23	330,928	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Visa Inc	Bond	2026-02-23	229,847	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Volkswagen AG	Bond	2026-02-23	594,229	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Volvo AB	Bond	2026-02-23	198,989	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Willhem AB	Bond	2026-02-23	410,098	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	World Bank Group/The	Bond	2026-02-23	4,739,608	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
