Shareholder - Name	Issuer - Name	Security - Report Date	Data Source URL
KPA	Canadian Imperial Bank of Commerce	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Canadian National Railway Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Canadian Pacific Kansas City Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Capgemini SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Capital One Financial Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Carrier Global Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Carvana Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Castellum AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CBOE Holdings Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CBRE Group Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Celestica Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cencora Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Centrica PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Chipotle Mexican Grill Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Chocoladefabriken Lindt & Sprungli AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Chubb Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Chugai Pharmaceutical Co Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Church & Dwight Co Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cie de Saint-Gobain SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cie Financiere Richemont SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cie Generale des Etablissements Michelin SCA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Ciena Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cigna Group	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cintas Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cisco Systems Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Citigroup Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Citizens Financial Group	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cloudflare Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CME Group Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cognizant Technology Solutions	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Colgate-Palmolive Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Comcast Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Comfort Systems USA Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Commerzbank AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Commonwealth Bank of Australia	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Compass Group PLC	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Consolidated Edison Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Constellation Software Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Continental AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Copart Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Corteva Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Costco Wholesale Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Crowdstrike Holdings Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Crown Castle Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CSL Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CSX Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Cummins Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	CVS Health Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Daiichi Sankyo Co Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Daiwa House Industry Co Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Danaher Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
