Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	HOLMEN AB	Corporates	2025-08-26	86,468	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2025-08-26	111,380	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2025-08-26	116,605	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2025-08-26	146,919	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2025-08-26	193,911	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2025-08-26	412,710	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVÄRDEN AB	Corporates	2025-08-26	90,275	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVÄRDEN AB	Corporates	2025-08-26	126,769	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ISS A/S	Corporates	2025-08-26	110,949	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JERNHUSEN AB	Corporates	2025-08-26	109,048	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JERNHUSEN AB	Corporates	2025-08-26	175,479	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JOHNSON CONTROLS INTERNATIONAL PLC	Corporates	2025-08-26	117,927	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	2025-08-26	104,003	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	2025-08-26	206,178	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	2025-08-26	310,835	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	2025-08-26	509,883	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	L E LUNDBERGFORETAGEN AB	Corporates	2025-08-26	65,799	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LÄNSFÖRSÄKRINGAR AB	Corporates	2025-08-26	150,046	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LEGAL & GENERAL GROUP PLC	Corporates	2025-08-26	198,720	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LONDON STOCK EXCHANGE GROUP PLC	Corporates	2025-08-26	45,987	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LONDON STOCK EXCHANGE GROUP PLC	Corporates	2025-08-26	200,685	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
