Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	HENNES & MAURITZ AB-B SHS	EQUITY	SE0000106270	2025-08-26	1,167,517	SEK		8784927	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HACKSAW AB	EQUITY	SE0025138357	2025-08-26	478,800	SEK		6300000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HANZA AB	EQUITY	SE0005878543	2025-08-26	108,249	SEK		1205447	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXAGON AB-B SHS	EQUITY	SE0015961909	2025-08-26	2,259,203	SEK		23741096	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXATRONIC GROUP AB	EQUITY	SE0018040677	2025-08-26	250,285	SEK		10071824	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXPOL AB	EQUITY	SE0007074281	2025-08-26	215,691	SEK		2352140	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HMS NETWORKS AB	EQUITY	SE0009997018	2025-08-26	58,329	SEK		140756	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HOLMEN AB-B SHARES	EQUITY	SE0011090018	2025-08-26	75,040	SEK		200000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUFVUDSTADEN AB-A SHS	EQUITY	SE0000170375	2025-08-26	123,500	SEK		1000000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUSQVARNA AB-B SHS	EQUITY	SE0001662230	2025-08-26	29,874	SEK		600000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IAR SYSTEMS GROUP AB	EQUITY	SE0005851706	2025-08-26	69,678	SEK		630000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
