Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	General Electric Co	2024-06-04	431	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Glencore Funding LLC	2024-06-04	5.416	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Goldman Sachs Group Inc	2024-06-04	1.312	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Goodman Funding Pty Ltd	2024-06-04	5.042	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	GRAND CITY PROPERTIES SA	2024-06-04	6.524	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Heathrow Funding Ltd	2024-06-04	2.359	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	HEIDELBERGCEMENT FINANCE	2024-06-04	1.391	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Heineken Holding NV	2024-06-04	86	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	HERAEUS FINANCE GMBH	2024-06-04	9.256	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	HOWOGE WOHNUNGS	2024-06-04	3.380	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Huhtamaki OYJ	2024-06-04	419	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Iberdrola International BV	2024-06-04	6.859	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	IBM Corp	2024-06-04	3.190	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	INFINEON TECHNOLOGIES AG	2024-06-04	3.109	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ING Groep NV	2024-06-04	28.195	x1_000	EUR	0,17%	https://www.bplpensioen.nl/beleggen
BPL Pension	Ing-Diba Ag	2024-06-04	9.437	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	International Flavors & Fragrances	2024-06-04	667	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Investec PLC	2024-06-04	10.753	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Investor AB	2024-06-04	1.810	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ISLANDSBANKI	2024-06-04	17.400	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	Italgas SpA	2024-06-04	950	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	JAB HOLDINGS BV	2024-06-04	4.345	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	JP Morgan Chase & Co	2024-06-04	14.293	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	KBC Groep NV	2024-06-04	10.603	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Keb Hana Ban	2024-06-04	5.180	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	KERING	2024-06-04	7.918	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Kojamo Oyj	2024-06-04	275	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Koninklijke Ahold Delhaize NV	2024-06-04	1.778	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	KOREA HOUSING FINANCE CO	2024-06-04	18.752	x1_000	EUR	0,12%	https://www.bplpensioen.nl/beleggen
BPL Pension	KRAFT HEINZ FOODS CO	2024-06-04	587	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LANDSBANKINN HF	2024-06-04	21.218	x1_000	EUR	0,13%	https://www.bplpensioen.nl/beleggen
BPL Pension	LANSFORSAKRINGAR BANK	2024-06-04	6.977	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Lanxess Finance BV	2024-06-04	488	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LEASYS SPA	2024-06-04	15.917	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Lehman Brothers Holdings Inc	2024-06-04	0	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	LIBERTY MUTUAL GROUP INC	2024-06-04	4.711	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	LOGICOR FINANCING SARL	2024-06-04	1.104	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
