Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
Vervoer	Argenx   SE	31-12-2024	10.935	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Arista Networks    Inc	31-12-2024	20.857	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Aristocrat  Leisure Ltd	31-12-2024	3.065	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ARROW     ELECTRONICS    INC	31-12-2024	4.861	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	 Co	31-12-2024	9.822	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Asahi  Breweries   Ltd	31-12-2024	1.949	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Asahi  Kasei Corp	31-12-2024	1.001	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ASE  Industrial Holding  Co  Ltd	31-12-2024	25.067	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Ashtead   Group   PLC	31-12-2024	8.551	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Asia Commercial    Bank  JSC	31-12-2024	1.069	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Asics Corp	31-12-2024	5.177	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ASM   International  NV	31-12-2024	2	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ASML   Holding  N,V,	31-12-2024	101.246	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Aspen   Technology   Inc	31-12-2024	184	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Corp	31-12-2024	2.550	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	AstraZeneca	31-12-2024	49.777	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Asustek  Computer    Inc	31-12-2024	2.958	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ASX  Ltd	31-12-2024	1.167	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	T   Inc	31-12-2024	25.555	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Atlassian  Corp  PLC	31-12-2024	16.927	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
