Shareholder	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
Pensioenfonds Zorg & Welzjin	Baring Ventures Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Baring Ventures Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Cinven	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	BC Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	TDR Capital	Co-Investering	2025-12-31	50	x1_000_000	EUR	1.0	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Co-Investering	2025-12-31	100	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Bridgepoint Group	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Exponent Private Equity Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Proterra	Fonds	2025-12-31	100	x1_000_000	EUR	0.15	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Proterra	Fonds	2025-12-31	50	x1_000_000	EUR	0.25	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Fonds	2025-12-31	150	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Fonds	2025-12-31	200	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.2	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.15	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	The Blackstone Group	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	New Mountain Capital Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.3	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Bowmark Capital	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	EQT Group	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Cinven	Co-Investering	2025-12-31	50	x1_000_000	EUR	1.0	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	BV Investment Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
