,Company,Market Value (x €1.000)
549,ING  Groep   NV,1.895
550,Ingenic  Semiconductor    Co  Ltd,2 7
551,"Ingredion  Inc,",5.367
552,Inmode   Ltd,1.222
553,Innogy  SE,2 1
554,INOVANCE,4.701
555,Inpex  Corp,10.895
556,InPost  SA,161
557,INSULET   CORP,401
558,Insurance   Australia Group   Ltd,8.087
559,Intact Financial  Corp,8.365
560,Interactive  Brokers  Group   Inc,4.219
561,Intercontinental   Hotels  Group,3.077
562,IntercontinentalExchange     Inc,2.420
563,Intermediate   Capital  Group  PLC,2.465
564,International  Container   Termin,1.614
565,Intrawest  Resorts  Holdings   Inc,2.092
566,INTUIT  INC,23.031
567,Intuitive Surgical Inc,39.791
568,Ipsen  SA,270
569,Isetan  Mitsukoshi  Holdings   Ltd,1.770
570,Isoftstone  Information   Technol,6 9
571,ISUZU   MOTORS    LTD,825
572,Itau Unibanco   Holding   SA,4.488
573,ITOCHU    Corp,6.601
574,Ivanhoe   Mines  Ltd,1.727
575,JABIL  CIRCUIT  INC,5.753
576,Jack in the Box  Inc,861
577,James   Hardie  Industries SE,5.856
578,Japan  Airlines Co  Ltd,287
579,Japan  Post  Bank  Co Ltd,1.675
580,JAPAN   POST  HOLDINGS     CO  LTD,2.160
581,Japan  Real  Estate Investment   C,2.904
582,Jazz Pharmaceuticals    Plc,5.019
583,Fi Ltd,4.194
584,"JD,COM    INC",16.676
585,s BV,1 4
586,JEREH   GROUP,3 5
587,Jeronimo   Martins  SGPS   SA,25.977
588,JFE HOLDINGS     INC,665
589,JFrog  Ltd,1.187
590,"Jiangsu  Hengrui  Medicine   Co,, Ltd,",4 6
591,Jiangxi Copper   Co Ltd,3 3
592,JINGSHENG,6 2
593,JINKO  SOLAR   CO  LTD,2 7
594, Johnson,44.809
595,Jointown,2 4
596, Co,44.976
597,JS Group   Corp,1.544
598,Julius Baer  Group  Ltd,205
599,"JUMPCAN     PHARMACEUTICAL        CO,, LT",258
600,Juniper  Networks   Inc,3.171
601,JYP Entertainment    Corp,4.178
602,Kajima  Corp,987
603,"Kakaku,com    Inc",10.201
604,Kansai  Paint Co  Ltd,5.200
605,KAO   CORP,8.286
606,Kasikornbank    PCL,16.835
607,KBC  GROEP    NV,238
608,KDDI  Corp,9.441
609,KE  Holdings  Inc,7.246
610,Keisei Electric Railway  Co  Ltd,2
611,Kellanova,4.686
612,Kenvue   Inc,20.186
613,Keppel  Ltd,506
614,B  SHS,3.911
615,KEURIG   DR  PEPPER   INC,1.289
616,Keyence   Corp,23.003
617,KGHM    Polska  Miedz  SA,3
618,Kikkoman    Corp,976
619,Kilroy Realty  Corporation,2.859
620,Clark   Corp,16.075
621,Clark   de  Mexico  SAB  d,4.801
622,L,3.645
623,Kingdom    of Thailand,5.456
624,Kingdom    of the Netherlands,11.092
625,Kingfisher  PLC,2.251
626,Kingsoft  Corp  Ltd,7.046
627,KINGSPAN    GROUP    PLC,3.588
628,Kinross  Gold  Corp,3.249
629,  Co LP,37.131
630,Kleppiere,3.442
631,Bremse    AG,2.886
632,Koc  Financial Services  AS,1.839
633,s Corp,896
634,Koito  Manufacturing    Co Ltd,4.686
635,KOKUSAI    ELECTRIC   CORP,209
636,KONE   OYJ,2 7
637,Koninklijke  Ahold  Delhaize  NV,4.604
638,Koninklijke  DSM   NV,8 6
639,KONINKLIJKE    KPN  NV,8.176
640,Koninklijke  Philips NV,3.853
641,Koninklijke  Vopak   NV,5
642,Korea  Investment   Holdings   Co L,4.373
643,Kose  Corp,2.289
644,The,6.331
645,Kroger  Co,16.563
646,KUBOTA    CORP,7.270
647, Nagel  International  A,2.768
648,Kumba    Iron Ore  Ltd,1.962
649,Kuraray  Co  Ltd,2.115
650,KYOCERA    CORP,1.375
651,Labcorp   Holdings  Inc,3.945
652,LAM   RESEARCH    CORP,2.136
653,LAND   SECURITIES   GROUP    PLC,2.921
654,Lasertec  Corp,1.054
655,Latam   Airlines Group  SA,538
656,LCXX,2 1
657,Legrand   SA,14.722
658,Lenovo   Group  Ltd,26.053
