Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	Ringkjoebing Landbobank	Denmark	Regional Banks	2025-12-31	36.76	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Leonardo	Italy	Aerospace & Defense	2025-12-31	36.32	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Lam Research	United states	Semiconductor Materials & Equipment	2025-12-31	36.11	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Hermes International	France	Apparel, Accessories & Luxury Goods	2025-12-31	35.86	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AppLovin	United states	Application Software	2025-12-31	35.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Jyske Bank	Denmark	Diversified Banks	2025-12-31	35.60	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Air Liquide	France	Industrial Gases	2025-12-31	35.59	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Morgan Stanley	United states	Investment Banking & Brokerage	2025-12-31	33.99	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Applied Materials	United states	Semiconductor Materials & Equipment	2025-12-31	33.52	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen	Germany	Reinsurance	2025-12-31	33.44	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	S&P Global	United states	Financial Exchanges & Data	2025-12-31	33.11	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	PepsiCo	United states	Soft Drinks & Non-alcoholic Beverages	2025-12-31	32.94	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	EssilorLuxottica	France	Health Care Supplies	2025-12-31	32.89	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	HDFC Bank	India	Diversified Banks	2025-12-31	32.77	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	American Express	United states	Consumer Finance	2025-12-31	32.68	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Enel	Italy	Electric Utilities	2025-12-31	32.58	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AXA	France	Multi-line Insurance	2025-12-31	32.50	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Vinci	France	Construction & Engineering	2025-12-31	32.19	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Atlas Copco	Sweden	Industrial Machinery & Supplies & Components	2025-12-31	32.13	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Intuitive Surgical	United states	Health Care Equipment	2025-12-31	31.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Investor	Sweden	Multi-Sector Holdings	2025-12-31	30.86	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Intuit	United states	Application Software	2025-12-31	30.42	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	QUALCOMM	United states	Semiconductors	2025-12-31	30.08	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
