Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	CASTELLUM AB	Equity	SE0000379190	2026-02-23	495,140	SEK	CAST SS	4,653,570.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SANDVIK AB	Equity	SE0000667891	2026-02-23	1,822,444	SEK	SAND SS	6,062,688.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	Equity	SE0000667925	2026-02-23	283,940	SEK	TELIA SS	7,210,269.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CELLAVISION AB CEVI SS Equity SEK 307,964.00 48,412 SE0000683484ALFA LAVAL AB	Equity	SE0000695876	2026-02-23	1,495,624	SEK	ALFA SS	3,211,562.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JM AB	Equity	SE0000806994	2026-02-23	25,074	SEK	JM SS	180,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BILLERUD AB	Equity	SE0000862997	2026-02-23	37,560	SEK	BILL SS	400,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDISH ORPHAN BIOVITRUM AB	Equity	SE0000872095	2026-02-23	779,613	SEK	SOBI SS	2,342,586.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUTRADE AB	Equity	SE0001515552	2026-02-23	513,822	SEK	INDT SS	2,137,363.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUSQVARNA AB-B SHS	Equity	SE0001662230	2026-02-23	14,883	SEK	HUSQB SS	320,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LINDAB INTERNATIONAL AB	Equity	SE0001852419	2026-02-23	265,502	SEK	LIAB SS	1,274,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARISE AB	Equity	SE0002095604	2026-02-23	170,260	SEK	ARISE SS	3,869,536.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SDIPTECH AB - B	Equity	SE0003756758	2026-02-23	362,674	SEK	SDIPB SS	1,891,885.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SIVERS SEMICONDUCTORS AB	Equity	SE0003917798	2026-02-23	8,308	SEK	SIVE SS	2,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XVIVO PERFUSION AB	Equity	SE0004840718	2026-02-23	51,083	SEK	XVIVO SS	273,757.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PLATZER FASTIGHETER HOLD-B	Equity	SE0004977692	2026-02-23	11,175	SEK	PLAZB SS	150,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAGAX AB-B	Equity	SE0005127818	2026-02-23	1,747,383	SEK	SAGAB SS	8,843,030.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELE2 AB-B SHS	Equity	SE0005190238	2026-02-23	131,933	SEK	TEL2B SS	853,661.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HANZA AB	Equity	SE0005878543	2026-02-23	105,104	SEK	HANZA SS	826,292.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRY AB	Equity	SE0005999836	2026-02-23	320,484	SEK	AFRY SS	2,136,562.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INWIDO AB	Equity	SE0006220018	2026-02-23	24,630	SEK	INWI SS	150,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRANGES AB	Equity	SE0006288015	2026-02-23	3,060	SEK	GRNG SS	21,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NP3 FASTIGHETER AB	Equity	SE0006342333	2026-02-23	126,007	SEK	NP3 SS	486,513.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
