Shareholder - Name	Issuer - Name	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP3	EMBRACER GROUP AB	SE0016828511	2025-02-11	189,856	SEK	6294969	0.47	0.34	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRUECALLER AB-B	SE0016787071	2025-02-11	83,906	SEK	1640396	0.46	0.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INFANT BACTERIAL THERAPEUTIC	SE0008015259	2025-02-11	3,216	SEK	60000	0.45	0.34	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKF AB-B SHARES	SE0000108227	2025-02-11	408,739	SEK	1968880	0.43	0.27	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDISH LOGISTIC PROPERTY-B	SE0017565476	2025-02-11	42,898	SEK	1099960	0.42	0.27	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BRAVIDA HOLDING AB	SE0007491303	2025-02-11	70,128	SEK	875508	0.42	0.43	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WALLENSTAM AB-B SHS	SE0017780133	2025-02-11	131,328	SEK	2747453	0.42	0.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB-B	SE0007100581	2025-02-11	1,506,369	SEK	4609453	0.41	0.28	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELE2 AB-B SHS	SE0005190238	2025-02-11	311,762	SEK	2853661	0.41	0.36	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AUTOLIV INC-SWED DEP RECEIPT	SE0021309614	2025-02-11	365,088	SEK	355767	0.41	0.41	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LAGERCRANTZ GROUP AB-B SHS	SE0014990966	2025-02-11	176,460	SEK	850000	0.41	0.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VIAPLAY GROUP AB	SE0012116390	2025-02-11	12,611	SEK	18600000	0.41	0.41	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDTECH AB-B SHARES	SE0014781795	2025-02-11	301,200	SEK	1000000	0.37	0.26	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-B SHS	SE0015811963	2025-02-11	3,280,809	SEK	11208776	0.37	0.08	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO CAR AB-B	SE0021628898	2025-02-11	259,919	SEK	10839000	0.36	0.36	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA CELLULOSA AB SCA-B	SE0000112724	2025-02-11	347,424	SEK	2473646	0.35	0.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VESTUM AB	SE0017134125	2025-02-11	14,593	SEK	1302991	0.35	0.35	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CAMURUS AB	SE0007692850	2025-02-11	113,100	SEK	200000	0.34	0.34	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDNET AB PUBL	SE0015192067	2025-02-11	195,088	SEK	830869	0.33	0.33	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BONAVA AB-B SHARES	SE0008091581	2025-02-11	7,874	SEK	991707	0.31	0.17	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWECO AB-B SHS	SE0014960373	2025-02-11	174,253	SEK	1058000	0.29	0.16	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	SE0000667925	2025-02-11	349,953	SEK	11410269	0.29	0.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LOOMIS AB	SE0014504817	2025-02-11	69,254	SEK	205867	0.29	0.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AMBEA AB	SE0009663826	2025-02-11	25,103	SEK	260000	0.29	0.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUTRADE AB	SE0001515552	2025-02-11	288,080	SEK	1040000	0.29	0.29	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KINNEVIK AB - B	SE0022060521	2025-02-11	54,168	SEK	734585	0.26	0.13	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETS AB BALDER-B SHRS	SE0017832488	2025-02-11	236,369	SEK	3077726	0.26	0.17	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
