Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Bond - Maturity Date	Data Source URL
AP3	IBERDROLA SA	Corporates	XS2244941063	2025-08-26	111,380	EUR	4/28/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	XS2949317676	2025-08-26	116,605	EUR	5/28/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	XS2405855375	2025-08-26	146,919	EUR	8/16/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	11	2025-08-26	193,911	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	IBERDROLA SA	Corporates	2	2025-08-26	412,710	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ISS A/S	Corporates	XS1673102734	2025-08-26	110,949	EUR	8/31/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JERNHUSEN AB	Corporates	SE0013884426	2025-08-26	109,048	SEK	9/25/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JERNHUSEN AB	Corporates	SE0013885837	2025-08-26	175,479	SEK	6/12/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JOHNSON CONTROLS INTERNATIONAL PLC	Corporates	XS2626007939	2025-08-26	117,927	EUR	5/23/2035	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	SE0021923786	2025-08-26	104,003	SEK	6/12/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	SE0023848999	2025-08-26	206,178	SEK	11/12/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	SE0018689523	2025-08-26	310,835	SEK	3/12/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KOMMUNINVEST COOPERATIVE SOCIETY	Corporates	XS2843736344	2025-08-26	509,883	SEK	6/18/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	L E LUNDBERGFORETAGEN AB	Corporates	SE0013885225	2025-08-26	65,799	SEK	10/16/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LEGAL & GENERAL GROUP PLC	Corporates	XS1580239207	2025-08-26	198,720	USD	3/21/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LONDON STOCK EXCHANGE GROUP PLC	Corporates	4	2025-08-26	45,987	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LONDON STOCK EXCHANGE GROUP PLC	Corporates	XS2679904685	2025-08-26	200,685	EUR	9/29/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MEDTRONIC PLC	Corporates	XS2535309798	2025-08-26	228,234	EUR	10/15/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	DE000A289QR9	2025-08-26	197,311	EUR	9/10/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	DE000A3LH6U5	2025-08-26	347,661	EUR	5/30/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	USU5876JAG05	2025-08-26	39,050	USD	3/30/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	8	2025-08-26	59,963	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	USU5876JBA26	2025-08-26	156,039	USD	11/15/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	USU5876JAS43	2025-08-26	198,173	USD	1/11/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCK & CO INC	Corporates	XS2825485183	2025-08-26	56,509	EUR	5/30/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MOTABILITY OPERATIONS GROUP PLC	Corporates	XS2978917156	2025-08-26	113,970	EUR	1/22/2033	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NETFLIX INC	Corporates	XS1821883102	2025-08-26	34,456	EUR	5/15/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NEXTERA ENERGY INC	Corporates	12	2025-08-26	156,902	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NEXTERA ENERGY INC	Corporates	US65339KCB44	2025-08-26	238,639	USD	3/15/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
